ID,NAME,ADDRESS,CITY,STATE,Type of school,ZIP,TELEPHONE,COUNTY,COUNTYFIPS,COUNTRY,WEBSITE,ALIAS,TOTAL_ENROLLMENT
736,NEW YORK LAW SCHOOL,185 WEST BROADWAY,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",10013,(212) 431-2100,NEW YORK,36061,USA,www.nyls.edu,NOT AVAILABLE,995
737,WELLS COLLEGE,170 MAIN STREET,AURORA,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",13026,(315) 364-3266,CAYUGA,36011,USA,www.wells.edu,WELLS,488
738,WORD OF LIFE BIBLE INSTITUTE,4200 GLENDALE ROAD,POTTERSVILLE,NY,OTHER TECHNICAL AND TRADE SCHOOLS,12860,(518) 494-4723,WARREN,36113,USA,www.wordoflife.edu,NOT AVAILABLE,522
739,TURTLE MOUNTAIN COMMUNITY COLLEGE,10145 BIA #7 NORTH,BELCOURT,ND,JUNIOR COLLEGES,58316,(701) 477-7862,ROLETTE,38079,USA,www.tm.edu,TMCC,567
740,ABINGTON MEMORIAL HOSPITAL DIXON SCHOOL OF NURSING,2500 MARYLAND RD STE 200,WILLOW GROVE,PA,OTHER TECHNICAL AND TRADE SCHOOLS,19090,(215) 481-5500,MONTGOMERY,42091,USA,www.amhdixonson.org,NOT AVAILABLE,-999
741,MEMPHIS COLLEGE OF ART,1930 POPLAR AVE,MEMPHIS,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",38104,(901) 272-5100,SHELBY,47157,USA,www.mca.edu,"MCA, MEMPHIS ACADEMY OF ART",303
742,UNIVERSITY OF WYOMING,CORNER OF NINTH AND IVINSON,LARAMIE,WY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",82071,(307) 766-1121,ALBANY,56001,USA,www.uwyo.edu,UW,12397
743,AMERICAN SAMOA COMMUNITY COLLEGE,P.O. BOX 2609,PAGOPAGO,AS,JUNIOR COLLEGES,96799,(684) 699-7834,WESTERN,60050,ASM,www.amsamoa.edu,ASCC,1095
744,LAC COURTE OREILLES OJIBWA COMMUNITY COLLEGE,13466 W TREPANIA RD,HAYWARD,WI,JUNIOR COLLEGES,54843,(715) 634-4790 EXT 100,SAWYER,55113,USA,www.lco.edu,NOT AVAILABLE,211
745,THE ART INSTITUTE OF NEW YORK CITY,218-232 WEST 40TH STREET,NEW YORK,NY,JUNIOR COLLEGES,10018,(212) 226-5500,NEW YORK,36061,USA,www.artinstitutes.edu/new-york,THE NEW YORK RESTAURANT SCHOOL,-999
746,BREWSTER TECHNICAL COLLEGE,2222 N TAMPA ST,TAMPA,FL,OTHER TECHNICAL AND TRADE SCHOOLS,33602,(813) 276-5448,HILLSBOROUGH,12057,USA,www.brewster.edu,NOT AVAILABLE,254
747,ARTISTIC NAILS AND BEAUTY ACADEMY-TAMPA,4951-A ADAMO DRIVE,TAMPA,FL,COSMETOLOGY AND BARBER SCHOOLS,33605,(813) 654-4529 EXT 202,HILLSBOROUGH,12057,USA,www.artisticbeautyschool.com,NOT AVAILABLE,139
748,GALEN COLLEGE OF NURSING-SAN ANTONIO,"7411 JOHN SMITH DRIVE, SUITE 300",SAN ANTONIO,TX,JUNIOR COLLEGES,78229,(210) 733-3056,BEXAR,48029,USA,www.galencollege.edu/sanantonio/,NOT AVAILABLE,1246
749,APPLIED TECHNOLOGY SERVICES,12721 WEST WATSON ROAD,SUNSET HILLS,MO,OTHER TECHNICAL AND TRADE SCHOOLS,63127,(314) 989-7500,ST. LOUIS,29189,USA,www.appliedtech-stl.com,NOT AVAILABLE,169
750,ARGOSY UNIVERSITY-TAMPA,1403 N. HOWARD AVENUE,TAMPA,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",33607,(813) 393-5290,HILLSBOROUGH,12057,USA,www.argosy.edu/tampa,NOT AVAILABLE,467
751,WHITE EARTH TRIBAL AND COMMUNITY COLLEGE,2250 COLLEGE ROAD,MAHNOMEN,MN,JUNIOR COLLEGES,56557,(218) 935-0417 EXT 319,MAHNOMEN,27087,USA,www.wetcc.edu,WETCC,90
752,MISSOURI COLLEGE OF COSMETOLOGY NORTH,3014 E SUNSHINE ST STE G,SPRINGFIELD,MO,COSMETOLOGY AND BARBER SCHOOLS,65804,(417) 887-1501,GREENE,29077,USA,www.missouricosmo.com,NOT AVAILABLE,84
753,NATIONAL AMERICAN UNIVERSITY-BROOKLYN CENTER,"6200 SHINGLE CREEK PARKWAY, SUITE 130",BROOKLYN CENTER,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",55430,(763) 852-7500,HENNEPIN,27053,USA,www.national.edu/locations/campuses/brooklyn-center/,NOT AVAILABLE,125
754,BLUE CLIFF CAREER COLLEGE,"2970 COTTAGE HILL RD., SUITE 175",MOBILE,AL,COSMETOLOGY AND BARBER SCHOOLS,36606,(251) 473-2220,MOBILE,1097,USA,www.blue.edu,NOT AVAILABLE,69
755,STONE ACADEMY-EAST HARTFORD,745 BURNSIDE AVENUE,EAST HARTFORD,CT,OTHER TECHNICAL AND TRADE SCHOOLS,6108,(860) 569-0618,HARTFORD,9003,USA,www.stoneacademy.com,NOT AVAILABLE,417
756,NEW AGE TRAINING,"145 WEST 30TH STREET, 8TH FLOOR",NEW YORK,NY,OTHER TECHNICAL AND TRADE SCHOOLS,10001,(212) 947-7940,NEW YORK,36061,USA,www.newagetraining.com,NOT AVAILABLE,145
757,SOUTH UNIVERSITY-TAMPA,"4401 N HIMES AVE, SUITE 175",TAMPA,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",33614,(813) 393-3800,HILLSBOROUGH,12057,USA,"www.southuniversity.edu/tampa#location=Tampa,%20FL",NOT AVAILABLE,883
758,ULTIMATE MEDICAL ACADEMY-TAMPA,9309 N FLORIDA AVE STE 100,TAMPA,FL,JUNIOR COLLEGES,33612,(813) 386-6350,HILLSBOROUGH,12057,USA,www.ultimatemedical.edu,NOT AVAILABLE,-999
759,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,305 SE 2ND AVE,GAINESVILLE,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",32601,(352) 335-2332,ALACHUA,12001,USA,www.acupuncturist.edu,NOT AVAILABLE,48
760,MEMPHIS INSTITUTE OF BARBERING,1309 JACKSON AVE,MEMPHIS,TN,COSMETOLOGY AND BARBER SCHOOLS,38107,(901) 726-4247,SHELBY,47157,USA,thebarberschool.edu,THE BARBER SCHOOL,161
761,TROY UNIVERSITY,UNIVERSITY AVENUE,TROY,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",36082,(334) 670-3100,PIKE,1109,USA,www.troy.edu,TROY,17521
762,RIO SALADO COLLEGE,2323 W 14TH ST,TEMPE,AZ,JUNIOR COLLEGES,85281,(480) 517-8000,MARICOPA,4013,USA,www.rio.maricopa.edu,NOT AVAILABLE,17635
763,ATLANTA METROPOLITAN STATE COLLEGE,"1630 METROPOLITAN PARKWAY, SW",ATLANTA,GA,JUNIOR COLLEGES,30310,(404) 756-4000,FULTON,13121,USA,www.atlm.edu,AMSC,2501
764,PIEDMONT COLLEGE,1021 CENTRAL AVE,DEMOREST,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",30535,(706) 778-3000,HABERSHAM,13137,USA,www.piedmont.edu,NOT AVAILABLE,2361
765,NATIONAL LOUIS UNIVERSITY,122 S MICHIGAN AVE,CHICAGO,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",60603,(800) 443-5522,COOK,17031,USA,www.nl.edu,NOT AVAILABLE,4918
766,ASHFORD UNIVERSITY,8620 SPECTRUM CENTER BOULEVARD,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92123,(866) 711-1700,SAN DIEGO,6073,USA,www.ashford.edu,NOT AVAILABLE,36453
767,UNIVERSITY OF MISSOURI-SYSTEM OFFICE,321 UNIVERSITY HALL,COLUMBIA,MO,EDUCATIONAL SUPPORT SERVICES,65211,(573) 882-2011,BOONE,29019,USA,www.umsystem.edu/,NOT AVAILABLE,-999
768,UNIVERSITY OF NEBRASKA-CENTRAL ADMINISTRATION SYSTEM OFFICE,3835 HOLDREGE ST,LINCOLN,NE,EDUCATIONAL SUPPORT SERVICES,68583,(402) 472-5242,LANCASTER,31109,USA,https://www.nebraska.edu,NOT AVAILABLE,-999
769,BRANFORD HALL CAREER INSTITUTE-PARSIPPANY,959 ROUTE 46 EAST,PARSIPPANY,NJ,OTHER TECHNICAL AND TRADE SCHOOLS,7054,(203) 672-2300,MORRIS,34027,USA,www.schooliya.com/peg/Parsippany/index.html,NOT AVAILABLE,44
770,UNIVERSITY OF NORTH CAROLINA SYSTEM,910 RALEIGH RD,CHAPEL HILL,NC,EDUCATIONAL SUPPORT SERVICES,27515,(919) 962-1000,ORANGE,37135,USA,www.northcarolina.edu,UNC SYSTEM,-999
771,CUMBERLAND UNIVERSITY,1 CUMBERLAND SQUARE,LEBANON,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",37087,(615) 444-2562,WILSON,47189,USA,www.cumberland.edu,CU,2314
772,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-SHELBYVILLE,1405 MADISON ST,SHELBYVILLE,TN,OTHER TECHNICAL AND TRADE SCHOOLS,37160,(931) 685-5013,BEDFORD,47003,USA,www.tcatshelbyville.edu,NOT AVAILABLE,485
773,THE UNIVERSITY OF TENNESSEE-MARTIN,554 UNIVERSITY STREET,MARTIN,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",38238,(731) 881-7000,WEAKLEY,47183,USA,www.utm.edu,UT MARTIN,6772
774,CENTRAL TEXAS COLLEGE,6200 WEST CENTRAL TEXAS EXPRESSWAY,KILLEEN,TX,JUNIOR COLLEGES,76549,(254) 526-7161,BELL,48027,USA,www.ctcd.edu,NOT AVAILABLE,15672
775,FRANK PHILLIPS COLLEGE,1301 W. ROOSEVELT ST.,BORGER,TX,JUNIOR COLLEGES,79008,(806) 457-4200,HUTCHINSON,48233,USA,www.fpctx.edu,FPC,1491
776,HARDIN-SIMMONS UNIVERSITY,2200 HICKORY,ABILENE,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",79698,(325) 670-1000,TAYLOR,48441,USA,www.hsutx.edu,"HSU, HARDIN-SIMMONS",2252
777,LAMAR UNIVERSITY,4400 MLK BLVD,BEAUMONT,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",77705,(409) 880-7011,JEFFERSON,48245,USA,www.lamar.edu,NOT AVAILABLE,14506
778,ODESSA COLLEGE,201 W UNIVERSITY BLVD,ODESSA,TX,JUNIOR COLLEGES,79764,(432) 335-6400,ECTOR,48135,USA,www.odessa.edu,NOT AVAILABLE,6282
779,WEATHERFORD COLLEGE,225 COLLEGE PARK DRIVE,WEATHERFORD,TX,JUNIOR COLLEGES,76086,(800) 287-5471,PARKER,48367,USA,https://www.wc.edu,NOT AVAILABLE,6357
780,CITY UNIVERSITY OF SEATTLE,"521 WALL STREET, SUITE 100",SEATTLE,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",98121,(800) 426-5596,KING,53033,USA,www.cityu.edu,CITYU,2199
781,THE EVERGREEN STATE COLLEGE,2700 EVERGREEN PKWY NW,OLYMPIA,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",98505,(360) 867-6170,THURSTON,53067,USA,www.evergreen.edu,EVERGREEN|TESC|,3907
782,NORTHCENTRAL TECHNICAL COLLEGE,1000 CAMPUS DR,WAUSAU,WI,JUNIOR COLLEGES,54401,(715) 675-3331,MARATHON,55073,USA,www.ntc.edu,NORTH CENTRAL TECHNICAL COLLEGE |NTC,5167
783,PUERTO RICO CONSERVATORY OF MUSIC,951 PONCE DE LEON AVENUE,SAN JUAN,PR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",907,(787) 751-0160 EXT 223,SAN JUAN,72127,PRI,www.cmpr.edu,NOT AVAILABLE,466
784,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY NASHVILLE,100 WHITE BRIDGE RD,NASHVILLE,TN,OTHER TECHNICAL AND TRADE SCHOOLS,37209,(615) 425-5500 EXT 5540,DAVIDSON,47037,USA,www.tcatnashville.edu,TCAT NASHVILLE,806
785,VISTA COLLEGE-ONLINE,"300 N. COIT RD, SUITE 300",RICHARDSON,TX,JUNIOR COLLEGES,75080,(972) 733-3431,DALLAS,48113,USA,vistacollege.edu,CCI,565
786,NATIONAL BEAUTY COLLEGE,200 SE MAIN STREET,ENNIS,TX,COSMETOLOGY AND BARBER SCHOOLS,75119,NOT AVAILABLE,ELLIS,48139,USA,NOT AVAILABLE,NOT AVAILABLE,-999
787,TEXAS BARBER COLLEGE,9275 RICHMOND AVE #180,HOUSTON,TX,COSMETOLOGY AND BARBER SCHOOLS,77063,(713) 953-0262 EXT 1406,HARRIS,48201,USA,www.txbarber.edu,NOT AVAILABLE,550
788,INTERACTIVE COLLEGE OF TECHNOLOGY-GAINESVILLE,2323-C BROWNS BRIDGE RD,GAINESVILLE,GA,JUNIOR COLLEGES,30504,(678) 450-0550,HALL,13139,USA,www.ict.edu,NOT AVAILABLE,63
789,NORTHCENTRAL UNIVERSITY,2488 HISTORIC DECATUR RD.,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92106,(888) 327-2877,SAN DIEGO,6073,USA,www.ncu.edu,NOT AVAILABLE,10788
790,AMERICAN INTERCONTINENTAL UNIVERSITY,"231 N. MARTINGALE RD., 6TH FLOOR",SCHAUMBURG,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",60173,(877) 701-3800,COOK,17031,USA,www.aiuniv.edu,AIU,9699
791,UNITED EDUCATION INSTITUTE-WEST COVINA,339 N. AZUSA AVENUE,WEST COVINA,CA,OTHER TECHNICAL AND TRADE SCHOOLS,91731,(626) 927-9000,LOS ANGELES,6037,USA,www.uei.edu,NOT AVAILABLE,574
792,AMERICAN COLLEGE OF EDUCATION,"101 WEST OHIO STREET, SUITE 1200",INDIANAPOLIS,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",46204,(800) 280-0307,MARION,18097,USA,www.ace.edu,NOT AVAILABLE,4816
793,PAUL MITCHELL THE SCHOOL-CINCINNATI,11956 LEBANON RD,CINCINNATI,OH,COSMETOLOGY AND BARBER SCHOOLS,45241,(513) 769-7699 EXT 202,HAMILTON,39061,USA,cincinnati.paulmitchell.edu,NOT AVAILABLE,237
794,COLUMBIA COLLEGE,5940 CENTREVILLE CREST LANE,CENTREVILLE,VA,OTHER TECHNICAL AND TRADE SCHOOLS,20121,(703) 266-0508,FAIRFAX,51059,USA,www.ccdc.edu,NOT AVAILABLE,160
795,VIRGINIA COLLEGE-GREENSBORO,3740 SOUTH HOLDEN ROAD,GREENSBORO,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27406,(336) 398-5400,GUILFORD,37081,USA,www.vc.edu,NOT AVAILABLE,401
796,DEVRY UNIVERSITY-VIRGINIA,2450 CRYSTAL DR.,ARLINGTON,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",22202,(703) 414-4000,ARLINGTON,51013,USA,https://www.devry.edu,DEVRY UNIVERSITY-ARLINGTON |DEVRY UNIVERSITY-MANASSAS |DEVRY UNIVERSITY-SOUTH HAMPTON ROADS,436
797,UNIVERSITY OF WEST LOS ANGELES,9800 S. LA CIENEGA BLVD.,INGLEWOOD,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",90301,(562) 342-5200,LOS ANGELES,6037,USA,www.uwla.edu,NOT AVAILABLE,-999
798,MKG BEAUTY & BUSINESS,379 ATWOOD AVENUE,CRANSTON,RI,COSMETOLOGY AND BARBER SCHOOLS,2920,(401) 228-6889 EXT 1,PROVIDENCE,44007,USA,www.avedainstituteri.edu,AVEDA INSTITUTE RHODE ISLAND,114
799,FLORIDA CAREER COLLEGE,7891 PINES BOULEVARD,PEMBROKE PINES,FL,JUNIOR COLLEGES,33024,(954) 399-4801,BROWARD,12011,USA,www.floridacareercollege.edu/,NOT AVAILABLE,650
800,AMERICAN ACADEMY OF COSMETOLOGY-DELRAY BEACH,"14610 SOUTH MILITARY TRAIL, STE. G4",DELRAY BEACH,FL,COSMETOLOGY AND BARBER SCHOOLS,33484,NOT AVAILABLE,PALM BEACH,12099,USA,NOT AVAILABLE,NOT AVAILABLE,-999
801,TUCSON COLLEGE,"5151 E BROADWAY BLVD, STE.155",TUCSON,AZ,OTHER TECHNICAL AND TRADE SCHOOLS,85711,(520) 258-0400,PIMA,4019,USA,www.tucsoncollege.edu,NOT AVAILABLE,-999
802,WALDEN UNIVERSITY,"100 WASHINGTON AVENUE SOUTH, SUITE 900",MINNEAPOLIS,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",55401,(866) 492-5336,HENNEPIN,27053,USA,www.waldenu.edu,NOT AVAILABLE,49680
803,CHARTER OAK STATE COLLEGE,55 PAUL MANAFORT DRIVE,NEW BRITAIN,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",6053,(860) 515-3800,HARTFORD,9003,USA,www.charteroak.edu,NOT AVAILABLE,1500
804,ALBANY TECHNICAL COLLEGE,1704 SOUTH SLAPPEY BOULEVARD,ALBANY,GA,JUNIOR COLLEGES,31701,(229) 430-3500 EXT 0656,DOUGHERTY,13095,USA,www.albanytech.edu,NOT AVAILABLE,3167
805,UNIVERSITY OF HAWAII SYSTEM OFFICE,2444 DOLE ST,HONOLULU,HI,EDUCATIONAL SUPPORT SERVICES,96822,(808) 956-8111,HONOLULU,15003,USA,www.hawaii.edu,UH SYSTEM |UH,-999
806,EDUCATORS OF BEAUTY COLLEGE OF COSMETOLOGY-LA SALLE,3602 MARQUETTE RD STE 2,PERU,IL,COSMETOLOGY AND BARBER SCHOOLS,61354,(815) 223-7326,LASALLE,17099,USA,www.educatorsofbeauty.com,NOT AVAILABLE,50
807,STEVEN PAPAGEORGE HAIR ACADEMY,1113-15 W BELMONT,CHICAGO,IL,COSMETOLOGY AND BARBER SCHOOLS,60657,(773) 883-5100,COOK,17031,USA,stevenpapageorgehairacademy.com,STEVEN PAPAGEORGE HAIR ACADEMY,47
808,TRI-COUNTY BEAUTY ACADEMY,219 N STATE ST,LITCHFIELD,IL,COSMETOLOGY AND BARBER SCHOOLS,62056,(217) 324-9062,MONTGOMERY,17135,USA,tcbacademy.net,NOT AVAILABLE,13
809,UNIVERSITY OF MAINE-SYSTEM CENTRAL OFFICE,15 ESTABROOKE DRIVE,ORONO,ME,EDUCATIONAL SUPPORT SERVICES,4469,(207) 973-3205,PENOBSCOT,23019,USA,WWW.MAINE.EDU,NOT AVAILABLE,-999
810,CHESAPEAKE COLLEGE,1000 COLLEGE CIRCLE,WYE MILLS,MD,JUNIOR COLLEGES,21679,(410) 822-5400,QUEEN ANNE'S,24035,USA,www.chesapeake.edu,NOT AVAILABLE,2189
811,UNIVERSITY SYSTEM OF MARYLAND,701 E. PRATT ST.,BALTIMORE,MD,EDUCATIONAL SUPPORT SERVICES,21201,(301) 445-1901,BALTIMORE,24510,USA,www.usmd.edu,USM,-999
812,UNIVERSITY OF MASSACHUSETTS-CENTRAL OFFICE,1 BEACON STREET,BOSTON,MA,EDUCATIONAL SUPPORT SERVICES,2108,(617) 287-7000,SUFFOLK,25025,USA,www.massachusetts.edu,NOT AVAILABLE,-999
813,OAKLAND UNIVERSITY,2200 NORTH SQUIRREL ROAD,ROCHESTER HILLS,MI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",48309,(248) 370-2100,OAKLAND,26125,USA,www.oakland.edu,OAKLAND|OU|O.U.,19333
814,JONES COUNTY JUNIOR COLLEGE,900 SOUTH COURT STREET,ELLISVILLE,MS,JUNIOR COLLEGES,39437,(601) 477-4000,JONES,28067,USA,www.jcjc.edu,NOT AVAILABLE,4517
815,EAST MISSISSIPPI COMMUNITY COLLEGE,1512 KEMPER STREET,SCOOBA,MS,JUNIOR COLLEGES,39358,(662) 476-5000,KEMPER,28069,USA,www.eastms.edu/,EMCC,3908
816,UNIVERSITY SYSTEM OF NEW HAMPSHIRE SYSTEM OFFICE,"5 CHENELL DRIVE, SUITE 301",CONCORD,NH,EDUCATIONAL SUPPORT SERVICES,3301,(603) 862-1800,MERRIMACK,33013,USA,www.usnh.edu,NOT AVAILABLE,-999
817,SAINT VINCENT SEMINARY,300 FRASER PURCHASE RD,LATROBE,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",15650,(724) 805-2395,WESTMORELAND,42129,USA,www.saintvincentseminary.edu,NOT AVAILABLE,47
818,TENNESSEE WESLEYAN UNIVERSITY,204 EAST COLLEGE STREET,ATHENS,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",37303,(423) 745-7504,MCMINN,47107,USA,www.tnwesleyan.edu,NOT AVAILABLE,951
819,OUR LADY OF THE LAKE UNIVERSITY,411 SW 24TH ST.,SAN ANTONIO,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",78207,(210) 434-6711,BEXAR,48029,USA,www.ollusa.edu,OLLU,3212
820,DAVIS TECHNICAL COLLEGE,550 E 300 S,KAYSVILLE,UT,JUNIOR COLLEGES,84037,(801) 593-2500,DAVIS,49011,USA,https://www.davistech.edu/,DAVIS TECH,2937
821,UNIVERSITY OF THE VIRGIN ISLANDS,2 JOHN BREWERS BAY,CHARLOTTE AMALIE,VI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",802,(340) 776-9200,ST. THOMAS,78030,PRI,www.uvi.edu,UVI,2170
822,UNIVERSITY OF LOUISIANA-SYSTEM ADMINISTRATION,"CLAIBORNE BUILDING, 1201 N. 3RD ST., SUITE 7-300",BATON ROUGE,LA,EDUCATIONAL SUPPORT SERVICES,70802,(225) 342-6950,EAST BATON ROUGE,22033,USA,www.ulsystem.edu,NOT AVAILABLE,-999
823,BRANFORD HALL CAREER INSTITUTE-JERSEY CITY,"40 JOURNAL SQUARE, 1ST FLOOR",JERSEY CITY,NJ,OTHER TECHNICAL AND TRADE SCHOOLS,7306,(203) 672-2300,HUDSON,34017,USA,www.schooliya.com/peg/JerseyCity/index.html,NOT AVAILABLE,146
824,UNIVERSITY OF WISCONSIN EXTENSION,432 N LAKE ST,MADISON,WI,EDUCATIONAL SUPPORT SERVICES,53706,(608) 262-6151,DANE,55025,USA,uwex.edu/,NOT AVAILABLE,-999
825,TRICOCI UNIVERSITY OF BEAUTY CUTURE LLC-BLOOMINGTON,1681 N. COLLEGE AVE,BLOOMINGTON,IN,COSMETOLOGY AND BARBER SCHOOLS,47404,(812) 339-1117,MONROE,18105,USA,www.tricociuniversity.edu,BLOOMINGTON,68
826,UEI COLLEGE-GARDENA,661 WEST REDONDO BEACH BOULEVARD,GARDENA,CA,OTHER TECHNICAL AND TRADE SCHOOLS,90247,(424) 246-3000,LOS ANGELES,6037,USA,www.uei.edu,NOT AVAILABLE,727
827,UNIVERSITY SYSTEM OF MARYLAND-RESEARCH CENTERS,3300 METZEROTT RD,ADELPHI,MD,EDUCATIONAL SUPPORT SERVICES,20783,(301) 445-1901,PRINCE GEORGE'S,24033,USA,www.usmd.edu,USM--RESEARCH CENTERS,-999
828,TENNESSEE BOARD OF REGENTS,1415 MURFREESBORO RD STE 350,NASHVILLE,TN,EDUCATIONAL SUPPORT SERVICES,37217,(615) 366-4400,DAVIDSON,47037,USA,www.tbr.edu,STATE UNIVERSITY AND COMMUNITY COLLEGE SYSTEM OF TENNESSEE; |TBR;,-999
829,VEEB NASSAU COUNTY SCHOOL OF PRACTICAL NURSING,30 EAST CHERRY STREET,HICKSVILLE,NY,OTHER TECHNICAL AND TRADE SCHOOLS,11801,(516) 572-1704,NASSAU,36059,USA,www.veeb.org/PN_main.php,NOT AVAILABLE,195
830,SANFORD-BROWN COLLEGE-ATLANTA,500 EMBASSY ROW NE/SUITE 130,ATLANTA,GA,JUNIOR COLLEGES,30328,NOT AVAILABLE,FULTON,13121,USA,NOT AVAILABLE,NOT AVAILABLE,-999
831,AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE,4701 WESTGATE BLVD,AUSTIN,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",78745,(512) 454-1188,TRAVIS,48453,USA,https://aoma.edu/,AOMA,160
832,VOGUE BEAUTY AND BARBER SCHOOL,3655 MACLAND RD,HIRAM,GA,COSMETOLOGY AND BARBER SCHOOLS,30141,(770) 943-6811 EXT 201,PAULDING,13223,USA,www.voguebeautyschool.com,NOT AVAILABLE,22
833,WESTERN GOVERNORS UNIVERSITY,4001 SOUTH 700 EAST SUITE 700,SALT LAKE CITY,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",84107,(801) 274-3280,SALT LAKE,49035,USA,www.wgu.edu,WGU |WESTERN GOVERNORS,98627
834,UTAH COLLEGE OF MASSAGE THERAPY-UTAH VALLEY,141 NORTH STATE STREET,OREM,UT,OTHER TECHNICAL AND TRADE SCHOOLS,84057,(801) 796-0300,UTAH,49049,USA,www.steinered.com,NOT AVAILABLE,149
835,STRATFORD UNIVERSITY,"3201 JERMANTOWN ROAD, SUITE 500",FAIRFAX,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",22030,(703) 539-6890,FAIRFAX,51059,USA,www.stratford.edu,NOT AVAILABLE,2282
836,BLUE CLIFF COLLEGE-SHREVEPORT,8731 PARK PLAZA DRIVE,SHREVEPORT,LA,JUNIOR COLLEGES,71105,(318) 798-6868,CADDO,22017,USA,bluecliffcollege.edu,NOT AVAILABLE,51
837,UNIVERSITY OF PHOENIX-NEW JERSEY,100 TOWN SQUARE PL,JERSEY CITY,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",7310,(866) 766-0766,HUDSON,34017,USA,www.phoenix.edu,NOT AVAILABLE,111
838,BRANFORD HALL CAREER INSTITUTE-NORTH BRUNSWICK,"651 US ROUTE 1, SOUTH 1ST FLOOR",NORTH BRUNSWICK,NJ,OTHER TECHNICAL AND TRADE SCHOOLS,8902,(203) 672-2300,MIDDLESEX,34023,USA,www.schooliya.com/peg/NorthBrunswick/index.html,NOT AVAILABLE,87
839,PAUL MITCHELL THE SCHOOL-TAMPA,7823 CITRUS PARK TOWN CENTER MALL,TAMPA,FL,COSMETOLOGY AND BARBER SCHOOLS,33625,(800) 229-4940,HILLSBOROUGH,12057,USA,paulmitchell.edu/tampa,NOT AVAILABLE,237
840,SHEAR EXCELLENCE HAIR ACADEMY,3649 W. WATERS AVENUE,TAMPA,FL,COSMETOLOGY AND BARBER SCHOOLS,33614,(813) 933-2468,HILLSBOROUGH,12057,USA,shearexcellhairacademy.org,NOT AVAILABLE,148
841,UNIVERSITY OF MOBILE,5735 COLLEGE PARKWAY DRIVE,MOBILE,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",36613,(251) 675-5990,MOBILE,1097,USA,www.umobile.edu,NOT AVAILABLE,1604
842,ALASKA BIBLE COLLEGE,248 E ELMWOOD,PALMER,AK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",99645,(907) 745-3201,MATANUSKA-SUSITNA,2170,USA,www.akbible.edu/,NOT AVAILABLE,42
